site,severity,date,day,trap,trap.type,indID,species,binomial,binomial_short,family,age,sex,breed,recap,weight,body.lgth,tail.lgth,comments,catnum
GRNCAR,unb,2017-09-05,1,F4,L,830,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,F,P,N,21,83,59,NA,NA
GRNCAR,unb,2017-09-05,1,B8,L,827,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,F,L,N,16,75,73,NA,NA
GRNCAR,unb,2017-09-06,2,E9,L,NA,SPRU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GRNCAR,unb,2017-09-06,2,J9,S,302,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,M,T,N,21,79,72,NA,NA
GRNCAR,unb,2017-09-06,2,G8,S,NA,SPRU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GRNCAR,unb,2017-09-06,2,D5,S,761,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,M,T,N,16,75,67,NA,NA
GRNCAR,unb,2017-09-06,2,B2,L,KING-008,SOTR,Sorex trowbridgii,S. trowbridgii,Soricidae,A,NA,NA,N,NA,NA,NA,NA,KING-008
GRNCAR,unb,2017-09-06,2,G2,S,830,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,F,P,Y,22,67,57,NA,NA
GRNCAR,unb,2017-09-06,2,F3,S,827,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,F,L,Y,16,74,68,NA,NA
GRNCAR,unb,2017-09-06,2,F4,L,759,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,M,T,N,15,74,67,NA,NA
GRNCAR,unb,2017-09-07,3,J9,S,842,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,M,T,N,18,76,71,NA,NA
GRNCAR,unb,2017-09-07,3,J3,S,761,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,M,T,Y,15,77,69,NA,NA
GRNCAR,unb,2017-09-07,3,J6,L,830,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,F,P,Y,24,77,57,NA,NA
GRNCAR,unb,2017-09-07,3,B2,L,850,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,F,P,N,19,83,65,NA,NA
GRNCAR,unb,2017-09-07,3,J1,S,759,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,M,T,Y,18,75,75,NA,NA
GRNDAM,unb,2017-08-29,1,A4,S,CLIP-1,SOTR,Sorex trowbridgii,S. trowbridgii,Soricidae,A,NA,NA,N,5,NA,56,NA,NA
GRNDAM,unb,2017-08-29,1,A6,S,CLIP-2,SOTR,Sorex trowbridgii,S. trowbridgii,Soricidae,A,NA,NA,N,5,NA,50,appeared to be in shock after release; but recovered quickly,NA
GRNDAM,unb,2017-08-29,1,A7,L,987,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,F,P,N,17,81,75,NA,NA
GRNDAM,unb,2017-08-29,1,A10,S,995,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,M,T,N,18,80,70,NA,NA
GRNDAM,unb,2017-08-29,1,B10,L,963,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,M,T,N,19,82,75,bald patch behind right rear leg,NA
GRNDAM,unb,2017-08-29,1,B1,S,990,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,M,T,N,18,77,70,NA,NA
GRNDAM,unb,2017-08-29,1,C1,L,973,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,M,T,N,16,76,62,NA,NA
GRNDAM,unb,2017-08-29,1,D10,L,NA,MISS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hole in trap; animal probably escaped,NA
GRNDAM,unb,2017-08-29,1,E1,L,965,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,F,N,N,12,75,73,possibly REME,NA
GRNDAM,unb,2017-08-29,1,E8,S,893,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,F,P,N,15,77,72,NA,NA
GRNDAM,unb,2017-08-29,1,G10,S,NA,MISS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,crooked trap; door partially closed; animal probably escaped,NA
GRNDAM,unb,2017-08-29,1,I1,L,183,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,M,T,N,16,80,74,slightly scrotal,NA
GRNDAM,unb,2017-08-29,1,I2,S,886,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,M,T,N,18,76,68,NA,NA
GRNDAM,unb,2017-08-29,1,I5,L,897,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,F,P,N,13,71,58,NA,NA
GRNDAM,unb,2017-08-30,2,B9,S,995,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,M,T,Y,17,76,71,NA,NA
GRNDAM,unb,2017-08-30,2,B7,S,987,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,F,P,Y,17,82,73,NA,NA
GRNDAM,unb,2017-08-30,2,B5,S,990,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,M,T,Y,16,77,72,NA,NA
GRNDAM,unb,2017-08-30,2,C1,L,965,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,F,N,Y,13,73,71,NA,NA
GRNDAM,unb,2017-08-30,2,C7,L,974,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,M,N,N,16,78,70,NA,NA
GRNDAM,unb,2017-08-30,2,C9,L,963,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,M,T,Y,18,83,71,bald patch,NA
GRNDAM,unb,2017-08-30,2,E1,L,183,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,M,T,Y,16,76,73,NA,NA
GRNDAM,unb,2017-08-30,2,E5,L,886,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,M,T,Y,16,75,69,slightly scrotal,NA
GRNDAM,unb,2017-08-30,2,I4,S,897,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,F,P,Y,12,72,59,NA,NA
GRNDAM,unb,2017-08-30,2,G9,L,893,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,F,P,Y,18,80,74,NA,NA
