binomial,seeds,fruits,veg,fungi,inverts,verts,guild,activity,arboreal,fossorial
Glaucomys sabrinus,10,0,20,60,5,5,herbivore,nocturnal,2,0
Neotamias amoenus,65,5,5,10,10,5,herbivore,diurnal,2,2
Neotamias quadrimaculatus,15,5,15,60,5,0,herbivore,diurnal,1,2
Neotamias senex,10,0,5,80,5,0,herbivore,diurnal,0,1
Neotoma fuscipes,5,5,85,5,0,0,herbivore,nocturnal,2,0
Otospermophilus beecheyi,30,10,40,0,10,10,omnivore,diurnal,0,2
Peromyscus boylii,40,25,0,5,25,5,omnivore,nocturnal,2,0
Peromyscus maniculatus,40,25,0,10,25,0,omnivore,nocturnal,2,0
Peromyscus truei,50,30,5,5,10,0,herbivore,nocturnal,1,0
Reithrodontomys megalotis,80,0,5,0,15,0,herbivore,nocturnal,1,0
Sorex trowbridgii,10,0,0,5,85,0,insectivore,cathemeral,0,2
