code,Common Name,Order,Family,Scientific Name,Average Mass,Foraging mode,Total Number Captured
SPBE,California ground squirrel,Rodentia,Sciuridae,Otospermophilus beecheyi,598 grams,"not arboreal, fossorial",23
GLSA,Northern flying squirrel,Rodentia,Sciuridae,Glaucomys sabrinus,138 grams,"arboreal, not fossorial",2
TAAM,Yellow-pine chipmunk,Rodentia,Sciuridae,Neotamias amoenus,51 grams,"arboreal, fossorial",4
TAQU,Long-eared chipmunk,Rodentia,Sciuridae,Neotamias quadrimaculatus,84 grams,"somewhat arboreal, fossorial",17
TASE,Allen's (Shadow) chipmunk,Rodentia,Sciuridae,Neotamias senex,89 grams,"not arboreal, somewhat fossorial",12
NEFU,Dusky-footed woodrat,Rodentia,Cricetidae,Neotoma fuscipes,213 grams,"arboreal, not fossorial",5
PEMA,North American deer mouse,Rodentia,Cricetidae,Peromyscus maniculatus,20 grams,"arboreal, not fossorial",426
PEBO,Brush mouse,Rodentia,Cricetidae,Peromyscus boylii,24 grams,"arboreal, not fossorial",18
PETR,Pinyon mouse,Rodentia,Cricetidae,Peromyscus truei,27 grams,"somewhat arboreal, not fossorial",2
REME,Western harvest mouse,Rodentia,Cricetidae,Reithrodontomys megalotis,11 grams,"somewhat arboreal, not fossorial",2
SOTR,Trowbridge's shrew,Eulipotyphla,Soricidae,Sorex trowbridgii,5 grams,"not arboreal, fossorial",34
