name,site,severity,type,point,datum_projection,easting,northing,comments
GRNSNO-N,GRNSNO,unb,Plot Corner,N,"WGS84, UTM 10S",723712,4330236,
GRNSNO-E,GRNSNO,unb,Plot Corner,E,"WGS84, UTM 10S",723831,4330075,
GRNSNO-S,GRNSNO,unb,Plot Corner,S,"WGS84, UTM 10S",723684,4329934,
GRNSNO-W,GRNSNO,unb,Plot Corner,W,"WGS84, UTM 10S",723543,4330108,
GRNSNO-BAT,GRNSNO,unb,Bat pole,BAT,"WGS84, UTM 10S",723800,4330095,
GRNSNO-A1,GRNSNO,unb,Mammal Grid,A1,"WGS84, UTM 10S",723651,4330175,
GRNSNO-A10,GRNSNO,unb,Mammal Grid,A10,"WGS84, UTM 10S",723728,4330128,
GRNSNO-J1,GRNSNO,unb,Mammal Grid,J1,"WGS84, UTM 10S",723603,4330102,
GRNSNO-J10,GRNSNO,unb,Mammal Grid,J10,"WGS84, UTM 10S",723677,4330049,
GRNSNO-CT1,GRNSNO,unb,Camera Trap,CT1,"WGS84, UTM 10S",723802,4330065,
GRNSNO-CT2,GRNSNO,unb,Camera Trap,CT2,"WGS84, UTM 10S",723544,4330105,
GRNSNO-BC1,GRNSNO,unb,Bird Count,BC1,"WGS84, UTM 10S",723713,4330227,
GRNSNO-BC2,GRNSNO,unb,Bird Count,BC2,"WGS84, UTM 10S",723718,4329991,
GRNQUA-NE,GRNQUA,unb,Plot Corner,NE,"WGS84, UTM 10S",724263,4330508,
GRNQUA-SE,GRNQUA,unb,Plot Corner,SE,"WGS84, UTM 10S",724264,4330287,
GRNQUA-NW,GRNQUA,unb,Plot Corner,NW,"WGS84, UTM 10S",724054,4330432,
GRNQUA-SW,GRNQUA,unb,Plot Corner,SW,"WGS84, UTM 10S",724064,4330247,
GRNQUA-BAT,GRNQUA,unb,Bat pole,BAT,"WGS84, UTM 10S",724199,4330264,
GRNQUA-A1,GRNQUA,unb,Mammal Grid,A1,"WGS84, UTM 10S",724152,4330422,
GRNQUA-A10,GRNQUA,unb,Mammal Grid,A10,"WGS84, UTM 10S",724163,4330331,
GRNQUA-J1,GRNQUA,unb,Mammal Grid,J1,"WGS84, UTM 10S",724058,4330406,
GRNQUA-J10,GRNQUA,unb,Mammal Grid,J10,"WGS84, UTM 10S",724086,4330328,
GRNQUA-CT1,GRNQUA,unb,Camera Trap,CT1,"WGS84, UTM 10S",724065,4330275,
GRNQUA-CT2,GRNQUA,unb,Camera Trap,CT2,"WGS84, UTM 10S",724163,4330308,
GRNQUA-BC1,GRNQUA,unb,Bird Count,BC1,"WGS84, UTM 10S",724253,4330318,
GRNQUA-BC2,GRNQUA,unb,Bird Count,BC2,"WGS84, UTM 10S",724064,4330417,
GRNDAM-N,GRNDAM,unb,Plot Corner,N,"WGS84, UTM 10S",718828,4325845,
GRNDAM-E,GRNDAM,unb,Plot Corner,E,"WGS84, UTM 10S",718947,4325752,
GRNDAM-S,GRNDAM,unb,Plot Corner,S,"WGS84, UTM 10S",718732,4325553,
GRNDAM-W,GRNDAM,unb,Plot Corner,W,"WGS84, UTM 10S",718634,4325664,
GRNDAM-BAT,GRNDAM,unb,Bat pole,BAT,"WGS84, UTM 10S",718767,4325691,
GRNDAM-A1,GRNDAM,unb,Mammal Grid,A1,"WGS84, UTM 10S",718753,4325622,
GRNDAM-A10,GRNDAM,unb,Mammal Grid,A10,"WGS84, UTM 10S",718822,4325695,
GRNDAM-J1,GRNDAM,unb,Mammal Grid,J1,"WGS84, UTM 10S",718688,4325691,
GRNDAM-J10,GRNDAM,unb,Mammal Grid,J10,"WGS84, UTM 10S",718758,4325760,
GRNDAM-CT1,GRNDAM,unb,Camera Trap,CT1,"WGS84, UTM 10S",718812,4325826,
GRNDAM-CT2,GRNDAM,unb,Camera Trap,CT2,"WGS84, UTM 10S",718730,4325600,
GRNDAM-BC1,GRNDAM,unb,Bird Count,BC1,"WGS84, UTM 10S",718625,4325667,
GRNDAM-BC2,GRNDAM,unb,Bird Count,BC2,"WGS84, UTM 10S",718946,4325757,
MIXBUT-N,MIXBUT,mod,Plot Corner,N,"WGS84, UTM 10S",722504,4329346,
MIXBUT-E,MIXBUT,mod,Plot Corner,E,"WGS84, UTM 10S",722597,4329523,
MIXBUT-S,MIXBUT,mod,Plot Corner,S,"WGS84, UTM 10S",722696,4329522,
MIXBUT-W,MIXBUT,mod,Plot Corner,W,"WGS84, UTM 10S",722521,4329142,
MIXBUT-BAT,MIXBUT,mod,Bat pole,BAT,"WGS84, UTM 10S",722512,4329231,
MIXBUT-A1,MIXBUT,mod,Mammal Grid,A1,"WGS84, UTM 10S",722635,4329326,
MIXBUT-A10,MIXBUT,mod,Mammal Grid,A10,"WGS84, UTM 10S",722545,4329330,
MIXBUT-J1,MIXBUT,mod,Mammal Grid,J1,"WGS84, UTM 10S",722644,4329416,
MIXBUT-J10,MIXBUT,mod,Mammal Grid,J10,"WGS84, UTM 10S",722555,4329423,
MIXBUT-CT1,MIXBUT,mod,Camera Trap,CT1,"WGS84, UTM 10S",722511,4329263,
MIXBUT-CT2,MIXBUT,mod,Camera Trap,CT2,"WGS84, UTM 10S",722510,4329176,
MIXBUT-BC1,MIXBUT,mod,Bird Count,BC1,"WGS84, UTM 10S",722512,4329231,
MIXBUT-BC2,MIXBUT,mod,Bird Count,BC2,"WGS84, UTM 10S",722597,4329523,
MIXWAT-N,MIXWAT,mod,Plot Corner,N,"WGS84, UTM 10S",720023,4326828,
MIXWAT-E,MIXWAT,mod,Plot Corner,E,"WGS84, UTM 10S",720079,4326707,
MIXWAT-S,MIXWAT,mod,Plot Corner,S,"WGS84, UTM 10S",719915,4326561,
MIXWAT-W,MIXWAT,mod,Plot Corner,W,"WGS84, UTM 10S",719825,4326716,
MIXWAT-BAT,MIXWAT,mod,Bat pole,BAT,"WGS84, UTM 10S",719980,4326670,
MIXWAT-A1,MIXWAT,mod,Mammal Grid,A1,"WGS84, UTM 10S",719923,4326615,
MIXWAT-A10,MIXWAT,mod,Mammal Grid,A10,"WGS84, UTM 10S",720001,4326616,
MIXWAT-J1,MIXWAT,mod,Mammal Grid,J1,"WGS84, UTM 10S",719914,4326697,
MIXWAT-J10,MIXWAT,mod,Mammal Grid,J10,"WGS84, UTM 10S",720008,4326702,
MIXWAT-CT1,MIXWAT,mod,Camera Trap,CT1,"WGS84, UTM 10S",720039,4326730,
MIXWAT-CT2,MIXWAT,mod,Camera Trap,CT2,"WGS84, UTM 10S",719878,4326758,
MIXWAT-BC1,MIXWAT,mod,Bird Count,BC1,"WGS84, UTM 10S",720017,4326831,
MIXWAT-BC2,MIXWAT,mod,Bird Count,BC2,"WGS84, UTM 10S",719911,4326566,
MIXRIV-N,MIXRIV,mod,Plot Corner,N,"WGS84, UTM 10S",720677,4326874,
MIXRIV-E,MIXRIV,mod,Plot Corner,E,"WGS84, UTM 10S",720838,4326749,
MIXRIV-S,MIXRIV,mod,Plot Corner,S,"WGS84, UTM 10S",720723,4326587,
MIXRIV-W,MIXRIV,mod,Plot Corner,W,"WGS84, UTM 10S",720560,4326708,
MIXRIV-BAT,MIXRIV,mod,Bat pole,BAT,"WGS84, UTM 10S",720717,4326741,
MIXRIV-A1,MIXRIV,mod,Mammal Grid,A1,"WGS84, UTM 10S",720669,4326774,
MIXRIV-A10,MIXRIV,mod,Mammal Grid,A10,"WGS84, UTM 10S",720670,4326683,
MIXRIV-J1,MIXRIV,mod,Mammal Grid,J1,"WGS84, UTM 10S",720764,4326782,
MIXRIV-J10,MIXRIV,mod,Mammal Grid,J10,"WGS84, UTM 10S",720764,4326689,
MIXRIV-CT1,MIXRIV,mod,Camera Trap,CT1,"WGS84, UTM 10S",720712,4326676,
MIXRIV-CT2,MIXRIV,mod,Camera Trap,CT2,"WGS84, UTM 10S",720681,4326835,
MIXRIV-BC1,MIXRIV,mod,Bird Count,BC1,"WGS84, UTM 10S",720559,4326717,
MIXRIV-BC2,MIXRIV,mod,Bird Count,BC2,"WGS84, UTM 10S",720820,4326776,
HICAMP-N,HICAMP,high,Plot Corner,N,"WGS84, UTM 10S",722989,4328053,
HICAMP-E,HICAMP,high,Plot Corner,E,"WGS84, UTM 10S",723132,4327929,
HICAMP-S,HICAMP,high,Plot Corner,S,"WGS84, UTM 10S",722986,4327795,
HICAMP-W,HICAMP,high,Plot Corner,W,"WGS84, UTM 10S",722847,4327939,
HICAMP-BAT,HICAMP,high,Bat pole,BAT,"WGS84, UTM 10S",723043,4327871,
HICAMP-A1,HICAMP,high,Mammal Grid,A1,"WGS84, UTM 10S",723081,4327873,
HICAMP-A10,HICAMP,high,Mammal Grid,A10,"WGS84, UTM 10S",723039,4327945,
HICAMP-J1,HICAMP,high,Mammal Grid,J1,"WGS84, UTM 10S",723016,4327822,
HICAMP-J10,HICAMP,high,Mammal Grid,J10,"WGS84, UTM 10S",722964,4327899,
HICAMP-CT1,HICAMP,high,Camera Trap,CT1,"WGS84, UTM 10S",723052,4327821,
HICAMP-CT2,HICAMP,high,Camera Trap,CT2,"WGS84, UTM 10S",723091,4327867,
HICAMP-BC1,HICAMP,high,Bird Count,BC1,"WGS84, UTM 10S",723019,4328011,
HICAMP-BC2,HICAMP,high,Bird Count,BC2,"WGS84, UTM 10S",722994,4327832,
HISHRU-N,HISHRU,high,Plot Corner,N,"WGS84, UTM 10S",721031,4323634,
HISHRU-E,HISHRU,high,Plot Corner,E,"WGS84, UTM 10S",721201,4323537,
HISHRU-S,HISHRU,high,Plot Corner,S,"WGS84, UTM 10S",721094,4323368,
HISHRU-W,HISHRU,high,Plot Corner,W,"WGS84, UTM 10S",720922,4323467,
HISHRU-BAT,HISHRU,high,Bat pole,BAT,"WGS84, UTM 10S",721111,4323546,
HISHRU-A1,HISHRU,high,Mammal Grid,A1,"WGS84, UTM 10S",721031,4323416,
HISHRU-A10,HISHRU,high,Mammal Grid,A10,"WGS84, UTM 10S",720959,4323466,
HISHRU-J1,HISHRU,high,Mammal Grid,J1,"WGS84, UTM 10S",721087,4323487,
HISHRU-J10,HISHRU,high,Mammal Grid,J10,"WGS84, UTM 10S",721015,4323539,
HISHRU-CT1,HISHRU,high,Camera Trap,CT1,"WGS84, UTM 10S",721188,4323513,
HISHRU-CT2,HISHRU,high,Camera Trap,CT2,"WGS84, UTM 10S",721101,4323526,
HISHRU-BC1,HISHRU,high,Bird Count,BC1,"WGS84, UTM 10S",720919,4323463,
HISHRU-BC2,HISHRU,high,Bird Count,BC2,"WGS84, UTM 10S",721199,4323535,
HIBADR-N,HIBADR,high,Plot Corner,N,"WGS84, UTM 10S",721802,4325093,
HIBADR-E,HIBADR,high,Plot Corner,E,"WGS84, UTM 10S",721891,4325029,
HIBADR-S,HIBADR,high,Plot Corner,S,"WGS84, UTM 10S",721825,4324823,
HIBADR-W,HIBADR,high,Plot Corner,W,"WGS84, UTM 10S",721665,4324910,
HIBADR-BAT,HIBADR,high,Bat pole,BAT,"WGS84, UTM 10S",721828,4325012,
HIBADR-A1,HIBADR,high,Mammal Grid,A1,"WGS84, UTM 10S",721740,4324884,
HIBADR-A10,HIBADR,high,Mammal Grid,A10,"WGS84, UTM 10S",721829,4324888,
HIBADR-J1,HIBADR,high,Mammal Grid,J1,"WGS84, UTM 10S",721735,4324974,
HIBADR-J10,HIBADR,high,Mammal Grid,J10,"WGS84, UTM 10S",721824,4324978,
HIBADR-CT1,HIBADR,high,Camera Trap,CT1,"WGS84, UTM 10S",721678,4324909,
HIBADR-CT2,HIBADR,high,Camera Trap,CT2,"WGS84, UTM 10S",721844,4325043,
HIBADR-BC1,HIBADR,high,Bird Count,BC1,"WGS84, UTM 10S",721825,4324826,
