,spp_avg,seeds,fruits,veg,fungi,inverts,verts,arboreal,fossorial,home_range_indv,litter_size,annual_litters,max_longevity,age_sexualmaturity
GLSA,119,10,0,20,60,5,5,2,0,0.04,3,1,156,335.63
TAAM,48.625,65,5,5,10,10,5,2,2,0.01,4.99,1,62,350.01
TAQU,81.44871795,15,5,15,60,5,0,1,2,0.00599,5.93,1,NA,NA
TASE,68.12962963,10,0,5,80,5,0,0,1,0.01,4.37,NA,NA,NA
NEFU,189.1111111,5,5,85,5,0,0,2,0,0.00186,2.79,1.75,NA,NA
SPBE,546.1333333,30,10,40,0,10,10,0,2,0.000299,6.71,1,60,365
PEBO,18.83333333,40,25,0,5,25,5,2,0,0.00267,3.18,NA,18,56.67
PEMA,17.45119705,40,25,0,10,25,0,2,0,0.00258,4.76,2.6,NA,48.05
PETR,20.5,50,30,5,5,10,0,1,0,0.00842,3.49,3,NA,42.46
REME,20,80,0,5,0,15,0,1,0,0.00112,4.18,4.5,18,87.5
SOTR,4.84375,10,0,0,5,85,0,0,2,NA,3.91,2,18,NA
