"","GLSA","NEFU","PEBO","PEMA","PETR","REME","SOTR","SPBE","TAAM","TAQU","TASE"
"GRNCAR",0,0,0,7,0,0,1,0,0,0,0
"GRNDAM",0,1,0,13,0,0,3,0,0,0,0
"GRNHOU",1,0,2,14,0,0,5,0,0,2,0
"GRNKAN",0,0,5,7,0,2,1,0,0,0,0
"GRNMAS",1,0,1,12,1,0,4,1,0,0,0
"GRNQUA",0,0,0,16,0,0,4,0,0,0,0
"GRNSNO",0,0,0,15,0,0,4,0,0,0,0
"GRNTUR",0,0,0,10,0,0,1,1,0,2,0
"GRNWOO",0,3,4,9,0,0,6,0,0,0,0
"HIBADR",0,0,0,24,0,0,0,4,0,0,1
"HICAMP",0,0,1,13,0,0,0,5,0,0,0
"HICORN",0,0,0,57,0,0,0,0,0,0,0
"HICOWS",0,0,2,13,1,0,0,0,0,0,0
"HIDODD",0,0,1,30,0,0,0,0,0,0,3
"HISHRU",0,0,0,23,0,0,0,1,1,2,0
"HISQUE",0,0,0,13,0,0,0,0,0,0,0
"HITEDD",0,0,0,27,0,0,0,0,0,0,0
"HIWALK",0,0,0,17,0,0,0,0,0,0,0
"MIXBUS",0,0,0,13,0,0,0,1,0,8,0
"MIXBUT",0,0,0,13,0,0,0,1,0,1,0
"MIXDP2",0,1,0,5,0,0,1,0,0,0,0
"MIXMID",0,0,0,16,0,0,0,0,0,0,1
"MIXMIX",0,0,1,7,0,0,0,0,0,0,0
"MIXMOR",0,0,1,27,0,0,4,8,0,0,6
"MIXRAV",0,0,0,16,0,0,0,0,0,2,0
"MIXRIV",0,0,0,5,0,0,0,1,3,0,0
"MIXWAT",0,0,0,4,0,0,0,0,0,0,1
