site,severity,species,binomial,binomial_short,family,age,sex,breed
GRNCAR,unb,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,M,T
GRNCAR,unb,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,M,T
GRNCAR,unb,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,F,P
GRNCAR,unb,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,F,P
GRNCAR,unb,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,M,T
GRNDAM,unb,SOTR,Sorex trowbridgii,S. trowbridgii,Soricidae,A,NA,NA
GRNDAM,unb,NEFU,Neotoma fuscipes,N. fuscipes,Cricetidae,S,M,N
GRNDAM,unb,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,F,P
GRNDAM,unb,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,M,T
GRNDAM,unb,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,M,T
GRNDAM,unb,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,M,T
GRNDAM,unb,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,M,T
GRNDAM,unb,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,S,F,N
GRNDAM,unb,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,F,P
GRNDAM,unb,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,M,T
GRNDAM,unb,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,M,T
GRNDAM,unb,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,M,T
GRNHOU,unb,SOTR,Sorex trowbridgii,S. trowbridgii,Soricidae,A,NA,NA
GRNHOU,unb,PEBO,Peromyscus boylii,P. boylii,Cricetidae,A,F,P
GRNHOU,unb,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,F,N
